SITEID,DATE,ONSITE_POA,ONSITE_GHI,SATELLITE_GHI,SATELLITE_POA,PREF_ONSITE,PREF_SATELLITE,IRRADIANCE_TYPE,STATE,SIZE_KW_DC,METER_ENERGY,INV_TOTAL_ENERGY,DAILY_RATIO,GOOD_HOURS,TOTAL_HOURS,PCT_GOOD_HOURS
SP-001,2026-02-10,0.0,0.0,2049.0,2970.0,0.0,2049.0,1.0,MN,1422.0,3428.0,3439.001,0.0,0.0,14,0.0
SP-001,2026-02-11,0.0,0.0,3008.0,4710.0,0.0,3008.0,1.0,MN,1422.0,4330.0,4341.001,0.0,0.0,14,0.0
SP-001,2026-02-12,0.0,0.0,3354.0,5495.0,0.0,3354.0,1.0,MN,1422.0,6932.515,6952.999,0.0,0.0,14,0.0
SP-001,2026-02-13,0.0,0.0,3319.0,5294.0,0.0,3319.0,1.0,MN,1422.0,6217.0,6236.998,0.0,0.0,14,0.0
SP-001,2026-02-14,0.0,0.0,3515.0,5748.0,0.0,3515.0,1.0,MN,1422.0,7025.998,7045.001,0.0,0.0,14,0.0
SP-001,2026-02-15,0.0,0.0,3475.0,5529.0,0.0,3475.0,1.0,MN,1422.0,6744.0,6760.126,0.0,0.0,14,0.0
SP-001,2026-02-16,0.0,0.0,3500.0,5553.0,0.0,3500.0,1.0,MN,1422.0,6658.999,6682.0,0.0,0.0,14,0.0
SP-001,2026-02-17,0.0,0.0,1304.0,1403.0,0.0,1304.0,1.0,MN,1422.0,2716.0,2731.114,0.0,0.0,14,0.0
SP-001,2026-02-18,0.0,0.0,1144.0,1122.0,0.0,1144.0,1.0,MN,1422.0,647.0,669.082,0.0,0.0,14,0.0
SP-001,2026-02-19,0.0,0.0,1215.0,1193.0,0.0,1215.0,1.0,MN,1422.0,812.586,837.965,0.0,0.0,14,0.0
SP-001,2026-02-20,0.0,0.0,2057.0,2295.0,0.0,2057.0,1.0,MN,1422.0,2832.0,2849.0,0.0,0.0,14,0.0
SP-001,2026-02-21,0.0,0.0,2992.0,4371.0,0.0,2992.0,1.0,MN,1422.0,6944.0,6969.003,0.0,0.0,14,0.0
SP-001,2026-02-22,0.0,0.0,2725.0,3325.0,0.0,2725.0,1.0,MN,1422.0,4189.0,4207.977,0.0,0.0,14,0.0
SP-001,2026-02-23,0.0,0.0,3823.0,5706.0,0.0,3823.0,1.0,MN,1422.0,7036.0,7055.024,0.0,0.0,14,0.0
SP-001,2026-02-24,0.0,0.0,2852.0,3922.0,0.0,2852.0,1.0,MN,1422.0,5004.001,5029.0019999999995,0.0,0.0,14,0.0
SP-001,2026-02-25,0.0,0.0,4163.0,6298.0,0.0,4163.0,1.0,MN,1422.0,7066.0,7092.986,0.0,0.0,14,0.0
SP-001,2026-02-26,0.0,0.0,4106.0,6113.0,0.0,4106.0,1.0,MN,1422.0,7068.0,7086.028,0.0,0.0,14,0.0
SP-001,2026-02-27,0.0,0.0,4139.0,6162.0,0.0,4139.0,1.0,MN,1422.0,6520.999,6529.002,0.0,0.0,14,0.0
SP-001,2026-02-28,0.0,0.0,2084.0,2250.0,0.0,2084.0,1.0,MN,1422.0,2660.0,2680.9339999999997,0.0,0.0,14,0.0
SP-001,2026-03-01,0.0,0.0,4026.0,5649.0,0.0,4026.0,1.0,MN,1422.0,6480.0,6499.067,0.0,0.0,14,0.0
SP-001,2026-03-02,0.0,0.0,3324.0,4435.0,0.0,3324.0,1.0,MN,1422.0,5570.999,5591.977,0.0,0.0,14,0.0
SP-001,2026-03-03,0.0,0.0,4049.0,5650.0,0.0,4049.0,1.0,MN,1422.0,6640.291,6649.025,0.0,0.0,14,0.0
SP-001,2026-03-04,0.0,0.0,1104.0,1086.0,0.0,1104.0,1.0,MN,1422.0,1540.998,1560.0,0.0,0.0,14,0.0
SP-001,2026-03-05,0.0,0.0,1345.0,1397.0,0.0,1345.0,1.0,MN,1422.0,2067.74,2085.005,0.0,0.0,14,0.0
SP-001,2026-03-06,0.0,0.0,702.0,689.0,0.0,702.0,1.0,MN,1422.0,764.254,787.0,0.0,0.0,14,0.0
SP-001,2026-03-07,0.0,0.0,3139.0,4102.0,0.0,3139.0,1.0,MN,1422.0,4642.999,4657.999,0.0,0.0,14,0.0
SP-001,2026-03-08,0.0,0.0,2426.0,2779.0,0.0,2426.0,1.0,MN,1422.0,3258.239,3273.0,0.0,0.0,14,0.0
SP-001,2026-03-09,0.0,0.0,4507.0,6205.0,0.0,4507.0,1.0,MN,1422.0,6416.999,6438.974,0.0,0.0,14,0.0
SP-001,2026-03-10,0.0,0.0,1241.0,1237.0,0.0,1241.0,1.0,MN,1422.0,1573.999,1594.026,0.0,0.0,14,0.0
SP-001,2026-03-11,0.0,0.0,4089.0,5112.0,0.0,4089.0,1.0,MN,1422.0,5034.999,5060.999,0.0,0.0,14,0.0
SP-002,2026-02-10,3522.8340000000003,2103.908,2730.0,4237.0,2103.908,2730.0,1.0,MN,1440.72,4437.999,4451.006,0.770662271062271,6.0,14,0.42857142857142855
SP-002,2026-02-11,3751.402,2271.907,3205.0,5093.0,2271.907,3205.0,1.0,MN,1440.72,4640.0,4663.973,0.7088633385335414,4.0,14,0.2857142857142857
SP-002,2026-02-12,6040.2699999999995,3514.484,3437.0,5598.0,3514.484,3437.0,1.0,MN,1440.72,7024.999,7056.009,1.0225440791387839,6.0,14,0.42857142857142855
SP-002,2026-02-13,5560.407,3250.979,3439.0,5528.0,3250.979,3439.0,1.0,MN,1440.72,6418.999,6447.959,0.9453268391974411,3.0,14,0.21428571428571427
SP-002,2026-02-14,6130.725,3632.305,3606.0,5864.0,3632.305,3606.0,1.0,MN,1440.72,7068.003,7105.006,1.0072947864669994,6.0,14,0.42857142857142855
SP-002,2026-02-15,5740.9890000000005,3393.696,3463.0,5434.0,3393.696,3463.0,1.0,MN,1440.72,6860.0,6891.593,0.9799872942535374,5.0,14,0.35714285714285715
SP-002,2026-02-16,6167.048,3672.965,3599.0,5694.0,3672.965,3599.0,1.0,MN,1440.72,7182.0,7216.964,1.0205515420950264,6.0,14,0.42857142857142855
SP-002,2026-02-17,2061.779,1387.586,1564.0,1836.0,1387.586,1564.0,1.0,MN,1440.72,2742.9990000000003,2759.998,0.8872033248081842,2.0,14,0.14285714285714285
SP-002,2026-02-18,643.424,549.436,743.0,730.0,549.436,743.0,1.0,MN,1440.72,842.001,868.977,0.7394831763122477,6.0,14,0.42857142857142855
SP-002,2026-02-19,2228.428,1504.3329999999999,606.0,609.0,1504.3329999999999,606.0,1.0,MN,1440.72,1755.998,1777.997,2.482397689768977,2.0,14,0.14285714285714285
SP-002,2026-02-20,3704.888,2369.4880000000003,1377.0,1397.0,2369.4880000000003,1377.0,1.0,MN,1440.72,4936.001,4956.956,1.7207610748002906,5.0,14,0.35714285714285715
SP-002,2026-02-21,5819.579,3628.8269999999998,2243.0,2618.0,3628.8269999999998,2243.0,1.0,MN,1440.72,7258.999,7294.0380000000005,1.6178452964779313,2.0,14,0.14285714285714285
