SITEID,SITENAME_first,STATE_first,IRRADIANCE_TYPE_first,SIZE_KW_DC_first,DAYS,DAYS_ONSITE_ZERO,DAYS_SATELLITE_ZERO,DAYS_RATIO_LOW,DAYS_RATIO_HIGH,DAYS_RATIO_OK,DAYS_WA_PR_HIGH,DAYS_WA_PR_LOW,AVG_RATIO,STD_RATIO,AVG_WA_PR,STD_WA_PR,PCT_ONSITE_ZERO,PCT_WA_PR_HIGH,RECOMMENDATION
SP-325,Midtown-Indi AZ,AZ,1.0,552.6,90,58,1,59,0,1,88,0,0.02419570843859188,0.11406361316135674,223.0405517344404,177.4196469539646,64.4,97.8,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-382,Scripps 10010  Campus Point,CA,1.0,601.92,90,59,1,58,0,2,85,1,0.035017875824122253,0.16069152116224358,91125.96831455501,219240.85767838752,65.6,94.4,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-578B,(Pebble) St. James Education Center,CA,2.0,28.0,90,1,1,1,0,43,81,6,0.6240899770658876,0.10343745438515373,2.262745267377747,1.479508580735085,1.1,90.0,USE_SATELLITE_DATA
SP-039,RIC-AMC,NJ,1.0,552.8,90,59,1,59,0,1,73,8,0.026277793955666776,0.14325466718033342,2.322951071318526,2.752648262579099,65.6,81.1,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-066D,Lakewood - Winterhurst Ice Rink,OH,1.0,241.0,90,60,1,59,0,1,66,8,0.07062772174366855,0.3813145619320997,42896.655394554095,141705.0940853017,66.7,73.3,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-089,Boulder - 63rd WTP,CO,1.0,719.28,90,59,1,59,0,1,64,3,0.019920199542841223,0.13139699206312155,1.506076130038633,0.6242130754019236,65.6,71.1,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-010,Douglas Todd,MN,1.0,1440.72,90,59,1,58,0,3,63,13,0.046664088907503544,0.208268363617008,3986.30828166155,5443.458143552292,65.6,70.0,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-508,(Pebble) Yucca Mesa ES,CA,2.0,126.0,90,1,1,0,0,61,62,1,0.9516366219272531,0.06712250851380212,1.183069807828512,0.28889735447004466,1.1,68.9,USE_SATELLITE_DATA
SP-503,(Pebble) Onaga ES,CA,2.0,275.0,90,1,1,0,0,60,61,0,0.8513955030562259,0.053743620677988456,1.211767709311126,0.30895498167863095,1.1,67.8,USE_SATELLITE_DATA
SP-509,(Pebble) Yucca Valley ES,CA,2.0,198.0,90,1,1,0,0,60,60,29,0.9048670203018797,0.10497041711961605,1.9787003602891065,10.406067421596312,1.1,66.7,USE_SATELLITE_DATA
SP-558,(Pebble) KPUB - Jack Furman Site,TX,2.0,1840.0,90,1,1,0,0,33,60,0,0.542705988463336,0.09628812896220951,1.4619769529183058,0.5684176326456175,1.1,66.7,USE_SATELLITE_DATA
SP-478,(Pebble) Troup Pine Mountain,GA,2.0,995.0,90,1,1,0,0,49,60,1,0.6052985917511265,0.19977620518410494,1.5909378752733156,0.5868029614389585,1.1,66.7,USE_SATELLITE_DATA
SP-069,146 Duchaine,MA,1.0,234.84,90,59,1,58,0,1,60,11,0.018724219657802948,0.08641090445666548,12693.721180224993,41229.96245676732,65.6,66.7,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-570C,(Pebble) SS Admin Complex,AZ,2.0,310.0,90,1,1,0,0,60,59,0,0.9442821049247323,0.1109891163804487,1.17028529112163,0.5346024500349412,1.1,65.6,USE_SATELLITE_DATA
SP-154,St. Augustine Parish,VA,1.0,304.85,90,58,1,58,0,1,59,1,0.025903933559675567,0.13251098582680698,2530.799370275467,5201.273348744749,64.4,65.6,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-277,LL 4901 Bandini,CA,1.0,948.24,90,59,1,58,0,1,59,1,0.02109508932585944,0.11297785540223071,1.2941769930308262,0.49493983872107594,65.6,65.6,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-055B,UMD - Shady Grove Garage,MD,1.0,264.18,90,58,1,58,0,2,58,4,0.03685321482469466,0.1614004844492332,4055.875829723362,10334.250999441585,64.4,64.4,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-368,Amazon LAS7,NV,1.0,1198.8,90,59,1,58,0,2,58,0,0.024853401976636665,0.11476559123608143,1.1519334672214885,0.3216343177829382,65.6,64.4,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-003,Stearns,MN,1.0,1440.72,90,59,1,58,0,2,58,15,0.0726108214875377,0.3600802489817881,6539.488213549491,12205.560475825807,65.6,64.4,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-085D,KSU-Geauga,OH,1.0,322.3,90,59,1,58,0,1,58,20,0.06899142911121577,0.3743852091462852,41420.60586555401,89420.22679450877,65.6,64.4,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
SP-037B,Greenwood High School,PA,1.0,564.06,90,59,1,58,0,2,57,7,0.03344541786713143,0.15740770125251405,13655.132571916824,18415.868842362772,65.6,63.3,"CHECK_SENSOR_CONNECTION, SENSOR_LOW_OUTPUT, USE_SATELLITE_DATA"
