Rank,Site ID,Site Name,Size (kW DC),WA PR (%),Raw PR (%),Insol Gap (%),Availability (%),Rev Impact ($),Smart Prod (kWh),Meter (kWh),Inverter (kWh),Specific Yield (kWh/kWp),Data Quality,Capacity Factor (%),BESS Site,Data Quality Flags
1,SP-110,"Gametime",326.3,3043.4,2130.9,-30.0,41.7,35872.49,150869,150869,0,462.35,good,1321.0,No,"wa_pr_extreme_high"
2,SP-104,"0 Bowman",1316.5,431.6,431.6,0.0,79.5,18386.36,137607,137607,0,104.53,good,298.6,No,"wa_pr_extreme_high"
3,SP-437,"Interstate 260",711.7,272.7,164.2,-39.8,100.0,1868.88,12647,12647,0,17.77,good,50.8,No,"wa_pr_extreme_high; insolation_gap_negative; availability_estimated_from_cf"
4,SP-578B,"(Pebble) St. James Education Center",28,245.0,173.4,-29.2,92.5,216.33,1461,1461,0,52.19,good,149.1,No,"wa_pr_extreme_high"
5,SP-586,"(Pebble) Franklin Site",2060,204.5,298.8,46.1,99.5,2005.90,49685,49685,0,24.12,good,68.9,No,"wa_pr_extreme_high; insolation_gap_positive"
6,SP-130,"3 Colton",4621.5,191.5,166.6,-13.0,76.0,12274.39,192282,192282,0,41.61,good,118.9,No,"wa_pr_extreme_high"
7,SP-558,"(Pebble) KPUB - Jack Furman Site",1840,177.8,38.8,-78.2,90.0,641.92,23226,23226,0,12.62,good,36.1,No,"wa_pr_extreme_high; insolation_gap_negative"
8,SP-478,"(Pebble) Troup Pine Mountain",995,177.0,68.5,-61.3,100.0,1210.72,23234,23234,0,23.35,good,66.7,No,"wa_pr_extreme_high; insolation_gap_negative"
9,SP-578A,"(Pebble) St. James Church",28,172.0,128.9,-25.0,94.1,113.71,1086,1086,0,38.79,good,110.8,No,"wa_pr_extreme_high"
10,SP-288,"Yeshiva",819.7,167.1,74.8,-55.3,82.5,1652.23,12532,12532,0,15.29,good,43.7,No,"wa_pr_extreme_high; insolation_gap_negative"
11,SP-057,"357 Hokum",129.4,155.8,123.2,-20.9,33.3,288.34,3192,3192,0,24.68,good,70.5,No,"wa_pr_extreme_high"
12,SP-133,"203 Moonachie",496.8,154.8,76.5,-50.6,100.0,1103.26,7456,7456,0,15.01,good,42.9,No,"wa_pr_extreme_high; insolation_gap_negative"
13,SP-529,"(Pebble) Sisters of St. Joseph",1000,153.3,87.5,-42.9,85.7,1182.93,22455,22455,0,22.45,good,64.2,No,"wa_pr_extreme_high; insolation_gap_negative"
